task_id,difficulty,base_pass,final_pass,n_candidates,n_cand_passing,final_pass_long_timeout
the-wording-game,Hard,True,True,6,6,
search-in-rotated-sorted-array,Medium,False,False,6,0,False
number-of-spaces-cleaning-robot-cleaned,Medium,False,True,6,4,
maximum-number-of-consecutive-values-you-can-make,Medium,False,False,6,1,False
out-of-boundary-paths,Medium,True,True,6,6,
minimum-numbers-of-function-calls-to-make-target-array,Medium,False,False,6,0,False
strobogrammatic-number-iii,Hard,False,False,6,0,False
longest-ideal-subsequence,Medium,True,True,6,5,
split-with-minimum-sum,Easy,True,True,6,6,
number-of-operations-to-make-network-connected,Medium,False,False,6,0,False
change-minimum-characters-to-satisfy-one-of-three-conditions,Medium,True,True,6,6,
tiling-a-rectangle-with-the-fewest-squares,Hard,True,True,6,6,
time-taken-to-cross-the-door,Hard,True,True,6,5,
latest-time-by-replacing-hidden-digits,Easy,False,False,6,0,False
the-most-similar-path-in-a-graph,Hard,True,True,6,6,
maximum-number-of-intersections-on-the-chart,Hard,False,False,6,0,False
minimized-maximum-of-products-distributed-to-any-store,Medium,False,False,6,0,False
sum-of-prefix-scores-of-strings,Hard,False,False,6,4,False
valid-square,Medium,True,True,6,6,
minimum-elements-to-add-to-form-a-given-sum,Medium,False,False,6,2,False
minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,Hard,True,False,6,2,True
reverse-pairs,Hard,False,False,6,0,False
string-transforms-into-another-string,Hard,True,True,6,5,
special-array-i,Easy,False,False,6,1,False
maximum-twin-sum-of-a-linked-list,Medium,False,False,6,0,False
next-greater-element-iii,Medium,True,True,6,6,
amount-of-new-area-painted-each-day,Hard,False,False,6,0,False
self-dividing-numbers,Easy,False,True,6,4,
minimum-time-to-revert-word-to-initial-state-i,Medium,False,False,6,0,False
super-washing-machines,Hard,False,False,6,0,False
find-the-width-of-columns-of-a-grid,Easy,False,False,6,0,False
minimum-insertions-to-balance-a-parentheses-string,Medium,True,True,6,6,
find-the-integer-added-to-array-ii,Medium,False,False,6,0,False
k-concatenation-maximum-sum,Medium,False,False,6,2,False
insert-interval,Medium,False,False,6,0,False
build-array-from-permutation,Easy,False,True,6,2,
sort-integers-by-the-number-of-1-bits,Easy,False,False,6,2,False
lemonade-change,Easy,False,False,6,2,False
next-greater-element-iv,Hard,False,False,6,0,False
difference-between-ones-and-zeros-in-row-and-column,Medium,True,True,6,6,
reconstruct-a-2-row-binary-matrix,Medium,False,False,6,0,False
two-best-non-overlapping-events,Medium,True,True,6,6,
minimum-number-of-coins-to-be-added,Medium,False,True,6,1,
connecting-cities-with-minimum-cost,Medium,False,False,6,0,False
max-value-of-equation,Hard,False,False,6,0,False
minimum-absolute-sum-difference,Medium,True,True,6,6,
find-the-maximum-length-of-a-good-subsequence-ii,Hard,False,False,6,0,False
minimum-weighted-subgraph-with-the-required-paths,Hard,True,True,6,6,
find-the-grid-of-region-average,Medium,False,False,6,0,False
the-maze,Medium,True,True,6,6,
kth-largest-sum-in-a-binary-tree,Medium,False,False,6,0,False
jump-game-ii,Medium,False,False,6,0,False
search-a-2d-matrix,Medium,False,False,6,0,False
max-consecutive-ones-iii,Medium,False,False,6,0,False
maximum-sum-of-3-non-overlapping-subarrays,Hard,False,False,6,0,False
maximum-difference-between-node-and-ancestor,Medium,False,False,6,0,False
winner-of-the-linked-list-game,Easy,False,False,6,0,False
largest-merge-of-two-strings,Medium,True,True,6,6,
minimum-add-to-make-parentheses-valid,Medium,True,True,6,6,
maximum-cost-of-trip-with-k-highways,Hard,True,True,6,6,
k-closest-points-to-origin,Medium,True,True,6,4,
sum-root-to-leaf-numbers,Medium,False,False,6,0,False
minimum-obstacle-removal-to-reach-corner,Hard,True,True,6,5,
find-the-minimum-possible-sum-of-a-beautiful-array,Medium,False,False,6,0,False
maximum-difference-by-remapping-a-digit,Easy,True,True,6,6,
find-words-that-can-be-formed-by-characters,Easy,False,False,6,0,False
simplify-path,Medium,True,True,6,6,
maximum-difference-between-increasing-elements,Easy,False,False,6,0,False
jewels-and-stones,Easy,True,True,6,6,
minimum-score-triangulation-of-polygon,Medium,False,False,6,3,False
maximum-score-from-grid-operations,Hard,False,False,6,0,False
check-if-number-has-equal-digit-count-and-digit-value,Easy,True,True,6,6,
